time			channel0	channel1	channel2	torque	speed	power
2023-10-10 14:46:18:376	3.12045	-0.109835	0.000151396	??-???	????????	??????
2023-10-10 14:46:18:376	3.21579	-0.0374079	0.000127554	5.21	0	26.2
2023-10-10 14:46:18:376	2.28913	0.0131953	0.000129938	??-???	????????	??????
2023-10-10 14:46:18:376	0.619631	0.0925076	0.000104904	5.21	0	26.2
2023-10-10 14:46:18:376	-1.29508	3.50677	5.96047e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-2.88394	4.49109	0.00010252	5.21	0	26.2
2023-10-10 14:46:18:376	-3.66988	4.54508	3.57628e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-3.46839	4.56328	5.84126e-05	5.21	0	26.2
2023-10-10 14:46:18:376	-2.30136	4.54897	7.7486e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-0.5116	4.46904	0.000116825	5.21	0	26.2
2023-10-10 14:46:18:376	1.37053	1.5039	9.65595e-05	??-???	????????	??????
2023-10-10 14:46:18:376	2.78406	0.173776	0.000115633	5.21	0	26.2
2023-10-10 14:46:18:376	3.30619	0.0800717	0.000129938	??-???	????????	??????
2023-10-10 14:46:19:379	2.77877	0.0465238	0.000116825	5.21	0	26.2
2023-10-10 14:46:19:379	1.36095	0.0326479	5.00679e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-0.521205	0.189502	0.000100136	5.21	0	26.2
2023-10-10 14:46:19:379	-2.30896	4.81252	3.8147e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-3.47152	4.73335	8.10623e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-3.66832	4.71581	4.88758e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-2.83979	4.70973	0.000104904	5.21	0	26.2
2023-10-10 14:46:19:379	-1.23077	4.70709	8.34465e-05	??-???	????????	??????
2023-10-10 14:46:19:379	0.685047	4.59496	9.77516e-05	5.21	0	26.2
2023-10-10 14:46:19:379	2.33606	-0.152802	0.000122786	??-???	????????	??????
2023-10-10 14:46:19:379	3.23093	-0.0719118	0.000115633	5.21	0	26.2
2023-10-10 14:46:19:379	3.09887	-0.0689566	0.000123978	??-???	????????	??????
2023-10-10 14:46:19:379	1.97982	-0.0972843	7.15256e-05	5.21	0	26.2
2023-10-10 14:46:19:379	0.210813	-0.251615	1.78814e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-1.68032	4.86523	4.52995e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-3.13331	4.78356	7.39098e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-3.71813	4.76347	5.36442e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-3.26468	4.76742	8.46386e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-1.9048	4.79698	0.000144243	5.21	0	26.2
2023-10-10 14:46:19:379	-0.0393701	4.9414	0.000118017	??-???	????????	??????
2023-10-10 14:46:19:379	1.77803	-0.0708366	0.000123978	5.21	0	26.2
2023-10-10 14:46:19:379	3.00429	-0.0183821	0.000145435	??-???	????????	??????
2023-10-10 14:46:19:379	3.27346	0.0249386	0.000129938	5.21	0	26.2
2023-10-10 14:46:19:379	2.50314	0.0740624	5.126e-05	??-???	????????	??????
2023-10-10 14:46:19:379	0.925663	0.187815	7.6294e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-0.987803	2.02109	8.34465e-06	??-???	????????	??????
2023-10-10 14:46:19:379	-2.6668	4.42428	4.52995e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-3.61599	4.52266	8.58307e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-3.55586	4.5414	0.000118017	5.21	0	26.2
